[15.02.2020 11:29:41, поток 0] [DEBUG] Start...
[15.02.2020 11:29:42, поток 1] [DEBUG] Start...
[15.02.2020 11:29:42, поток 2] [DEBUG] Start...
[15.02.2020 11:29:42, поток 3] [DEBUG] Start...
[15.02.2020 11:29:43, поток 4] [DEBUG] Start...
[15.02.2020 11:29:43, поток 0] Спарсили куки
[15.02.2020 11:29:43, поток 5] [DEBUG] Start...
[15.02.2020 11:29:43, поток 6] [DEBUG] Start...
[15.02.2020 11:29:43, поток 4] Спарсили куки
[15.02.2020 11:29:44, поток 3] Спарсили куки
[15.02.2020 11:29:44, поток 5] Спарсили куки
[15.02.2020 11:29:44, поток 2] Спарсили куки
[15.02.2020 11:29:44, поток 7] [DEBUG] Start...
[15.02.2020 11:29:45, поток 0] [Ошибка] Что-то не так. Переделываем.
[15.02.2020 11:29:45, поток 8] [DEBUG] Start...
[15.02.2020 11:29:45, поток 9] [DEBUG] Start...
[15.02.2020 11:29:45, поток 4] [Ошибка] Что-то не так. Переделываем.
[15.02.2020 11:29:45, поток 0] Спарсили куки
[15.02.2020 11:29:46, поток 5] [Ошибка] Что-то не так. Переделываем.
[15.02.2020 11:29:46, поток 8] Спарсили куки
[15.02.2020 11:29:46, поток 3] [Ошибка] Что-то не так. Переделываем.
[15.02.2020 11:29:46, поток 7] Спарсили куки
[15.02.2020 11:29:46, поток 9] Спарсили куки
[15.02.2020 11:29:46, поток 10] [DEBUG] Start...
[15.02.2020 11:29:46, поток 4] Спарсили куки
[15.02.2020 11:29:47, поток 5] Спарсили куки
[15.02.2020 11:29:47, поток 2] [Ошибка] Что-то не так. Переделываем.
[15.02.2020 11:29:47, поток 3] Спарсили куки
[15.02.2020 11:29:47, поток 8] [Ошибка] Что-то не так. Переделываем.
[15.02.2020 11:29:47, поток 9] [Ошибка] Что-то не так. Переделываем.
[15.02.2020 11:29:48, поток 8] Спарсили куки
[15.02.2020 11:29:48, поток 9] Спарсили куки
[15.02.2020 11:29:49, поток 10] Спарсили куки
[15.02.2020 11:29:49, поток 0] [DEBUG] Start...
[15.02.2020 11:29:57, поток 8] [DEBUG] Start...
[15.02.2020 11:29:57, поток 3] [DEBUG] Start...
[15.02.2020 11:29:57, поток 5] [DEBUG] Start...
[15.02.2020 11:29:57, поток 9] [DEBUG] Start...
[15.02.2020 11:32:21, поток 0] [DEBUG] Start...
[15.02.2020 11:32:22, поток 1] [DEBUG] Start...
[15.02.2020 11:32:22, поток 2] [DEBUG] Start...
[15.02.2020 11:32:22, поток 3] [DEBUG] Start...
[15.02.2020 11:32:22, поток 0] Спарсили куки
[15.02.2020 11:32:23, поток 4] [DEBUG] Start...
[15.02.2020 11:32:23, поток 1] Спарсили куки
[15.02.2020 11:32:23, поток 5] [DEBUG] Start...
[15.02.2020 11:32:23, поток 6] [DEBUG] Start...
[15.02.2020 11:32:24, поток 4] Спарсили куки
[15.02.2020 11:32:24, поток 3] Спарсили куки
[15.02.2020 11:32:24, поток 7] [DEBUG] Start...
[15.02.2020 11:32:24, поток 5] Спарсили куки
[15.02.2020 11:32:24, поток 6] Спарсили куки
[15.02.2020 11:32:24, поток 0] [Ошибка] Что-то не так. Переделываем.
