[12.02.2020 20:41:25, поток 0] [DEBUG] Start...
[12.02.2020 20:41:26, поток 0] (Ошибка) Текст ошибки: System.ArgumentException: Значение параметра не может быть строкой нулевой длины.
Имя параметра: value
   в xNet.HttpRequest.AddHeader(String name, String value)
   в InstaImap.Instagram.DoWork(String email, WebProxy proxy, String csrf, String UserAgent, String cookie) в D:\MaXiMAA\MaXiMAAOld\C#Готово\KWORK\InstaDirectMessage_ButDev\InstaReportSpam\Instagram.cs:строка 305
[12.02.2020 20:41:26, поток 0] [Ошибка] Что-то не так. Переделываем.
[12.02.2020 20:42:59, поток 0] [DEBUG] Start...
[12.02.2020 20:43:03, поток 0] [Ошибка] Что-то не так. Переделываем.
[12.02.2020 20:43:08, поток 0] Спарсили куки
[12.02.2020 20:43:13, поток 0] Вошли в аккаунт.
[12.02.2020 20:43:18, поток 0] [DEBUG] Start...
[12.02.2020 20:46:06, поток 0] [DEBUG] Start...
[12.02.2020 20:46:10, поток 0] [Ошибка] Что-то не так. Переделываем.
[12.02.2020 20:46:13, поток 0] Спарсили куки
[12.02.2020 20:50:50, поток 0] [DEBUG] Start...
[12.02.2020 20:51:01, поток 0] [Ошибка] Что-то не так. Переделываем.
[12.02.2020 20:51:04, поток 0] Спарсили куки
[12.02.2020 20:51:10, поток 0] Вошли в аккаунт.
[12.02.2020 20:51:14, поток 0] [DEBUG] Start...
[12.02.2020 20:51:45, поток 0] [DEBUG] Start...
[12.02.2020 20:52:57, поток 0] [Ошибка] Что-то не так. Переделываем.
[12.02.2020 20:53:00, поток 0] Спарсили куки
[12.02.2020 20:53:09, поток 0] Вошли в аккаунт.
[12.02.2020 20:58:26, поток 0] [DEBUG] Start...
[12.02.2020 20:58:28, поток 0] [Ошибка] Что-то не так. Переделываем.
[12.02.2020 20:58:31, поток 0] Спарсили куки
[12.02.2020 20:58:37, поток 0] Вошли в аккаунт.
[12.02.2020 20:58:48, поток 0] [DEBUG] Start...
[12.02.2020 20:58:51, поток 0] [Ошибка] Что-то не так. Переделываем.
[12.02.2020 20:58:52, поток 0] Спарсили куки
[12.02.2020 20:59:46, поток 0] [DEBUG] Start...
[12.02.2020 21:01:29, поток 0] Good.
[12.02.2020 21:02:31, поток 0] [DEBUG] Start...
[12.02.2020 21:03:19, поток 0] Good.
[12.02.2020 21:03:34, поток 0] [DEBUG] Start...
[12.02.2020 21:03:36, поток 0] Good.
[12.02.2020 21:05:50, поток 0] [DEBUG] Start...
[12.02.2020 21:05:58, поток 0] [Ошибка] Что-то не так. Переделываем.
[12.02.2020 21:06:01, поток 0] Спарсили куки
[12.02.2020 21:06:03, поток 0] (Ошибка) Текст ошибки: xNet.HttpException: Не удалось соединиться с HTTP-сервером 'i.instagram.com'. ---> xNet.ProxyException: Получен неверный код статуса 'BadGateway' от прокси-сервера '194.183.168.4:20569'.
   в xNet.HttpProxyClient.CreateConnection(String destinationHost, Int32 destinationPort, TcpClient tcpClient)
   в xNet.HttpRequest.CreateTcpConnection(String host, Int32 port)
   --- Конец трассировки внутреннего стека исключений ---
   в xNet.HttpRequest.CreateTcpConnection(String host, Int32 port)
   в xNet.HttpRequest.CreateConnection(Uri address)
   в xNet.HttpRequest.TryCreateConnectionOrUseExisting(Uri address, Uri previousAddress)
   в xNet.HttpRequest.Request(HttpMethod method, Uri address, HttpContent content)
   в xNet.HttpRequest.Raw(HttpMethod method, Uri address, HttpContent content)
   в xNet.HttpRequest.Raw(HttpMethod method, String address, HttpContent content)
   в xNet.HttpRequest.Post(String address, RequestParams reqParams, Boolean dontEscape)
   в InstaImap.Instagram.DoLogin(String email, WebProxy proxy, String UserAgent, String cookie) в D:\MaXiMAA\MaXiMAAOld\C#Готово\KWORK\InstaDirectMessage_ButDev\InstaReportSpam\Instagram.cs:строка 243
[12.02.2020 21:06:11, поток 0] [DEBUG] Start...
[12.02.2020 21:06:14, поток 0] [Ошибка] Что-то не так. Переделываем.
[12.02.2020 21:06:14, поток 0] [DEBUG] Не удалось спарсить Cookie. Плохие прокси?
[12.02.2020 21:06:14, поток 0] HTML: 
[12.02.2020 21:06:14, поток 0] [DEBUG] Сменили прокси.
[12.02.2020 21:06:14, поток 0] [DEBUG] Start...
[12.02.2020 21:06:20, поток 0] [Ошибка] Что-то не так. Переделываем.
[12.02.2020 21:06:21, поток 0] Спарсили куки
[12.02.2020 21:06:25, поток 0] Вошли в аккаунт.
[12.02.2020 21:07:53, поток 0] [DEBUG] Start...
[12.02.2020 21:07:59, поток 0] Good.
[12.02.2020 21:32:10, поток 0] [DEBUG] Start...
[12.02.2020 21:32:13, поток 0] Good.
[12.02.2020 21:35:52, поток 0] [DEBUG] Start...
[12.02.2020 21:35:55, поток 0] Good.
[12.02.2020 21:39:02, поток 0] [DEBUG] Start...
[12.02.2020 21:39:05, поток 0] Good.
[12.02.2020 21:48:18, поток 0] [DEBUG] Start...
[12.02.2020 21:48:28, поток 0] Good.
[12.02.2020 21:49:53, поток 0] [DEBUG] Start...
[12.02.2020 21:49:56, поток 0] Good.
[12.02.2020 21:51:46, поток 0] [DEBUG] Start...
[12.02.2020 21:51:50, поток 0] Good.
[12.02.2020 21:54:24, поток 0] [DEBUG] Start...
[12.02.2020 21:54:27, поток 0] Good.
[12.02.2020 21:56:11, поток 0] [DEBUG] Start...
[12.02.2020 21:56:13, поток 0] Good.
[12.02.2020 21:57:15, поток 2] [DEBUG] Start...
[12.02.2020 21:57:16, поток 1] [DEBUG] Start...
[12.02.2020 21:57:18, поток 1] Спарсили куки
[12.02.2020 21:57:19, поток 2] Good.
[12.02.2020 21:57:20, поток 0] [DEBUG] Start...
[12.02.2020 21:57:22, поток 0] Спарсили куки
[12.02.2020 21:57:23, поток 1] Вошли в аккаунт.
[12.02.2020 21:57:26, поток 1] Good.
[12.02.2020 21:57:27, поток 0] Вошли в аккаунт.
[12.02.2020 21:57:29, поток 0] Good.
[12.02.2020 21:58:38, поток 2] [DEBUG] Start...
[12.02.2020 21:58:40, поток 1] [DEBUG] Start...
[12.02.2020 21:58:42, поток 0] [DEBUG] Start...
[12.02.2020 21:58:44, поток 2] Good.
[12.02.2020 21:58:45, поток 0] Good.
[12.02.2020 21:58:45, поток 1] Good.
[12.02.2020 22:00:32, поток 2] [DEBUG] Start...
[12.02.2020 22:00:36, поток 2] Good.
[12.02.2020 22:00:43, поток 1] [DEBUG] Start...
[12.02.2020 22:00:48, поток 1] Good.
[12.02.2020 22:00:54, поток 0] [DEBUG] Start...
[12.02.2020 22:00:57, поток 0] Good.
[12.02.2020 22:02:30, поток 11] [DEBUG] Start...
[12.02.2020 22:02:34, поток 11] [Ошибка] Что-то не так. Переделываем.
[12.02.2020 22:02:35, поток 9] [DEBUG] Start...
[12.02.2020 22:02:35, поток 11] Спарсили куки
[12.02.2020 22:02:37, поток 10] [DEBUG] Start...
[12.02.2020 22:02:39, поток 9] Good.
[12.02.2020 22:02:41, поток 8] [DEBUG] Start...
[12.02.2020 22:02:42, поток 8] [Ошибка] Что-то не так. Переделываем.
[12.02.2020 22:02:42, поток 8] [DEBUG] Не удалось спарсить Cookie. Плохие прокси?
[12.02.2020 22:02:42, поток 8] HTML: 
[12.02.2020 22:02:42, поток 8] [DEBUG] Сменили прокси.
[12.02.2020 22:02:42, поток 8] [DEBUG] Start...
[12.02.2020 22:02:42, поток 11] [DEBUG] Start...
[12.02.2020 22:02:42, поток 7] [DEBUG] Start...
[12.02.2020 22:02:44, поток 7] [Ошибка] Что-то не так. Переделываем.
[12.02.2020 22:02:45, поток 8] Good.
